date,ripple,isPartial
2015-08-19,72.26229508196721,False
2015-08-20,78.49180327868852,False
2015-08-21,59.80327868852459,False
2015-08-22,59.80327868852459,False
2015-08-23,72.26229508196721,False
2015-08-24,58.55737704918033,False
2015-08-25,63.54098360655738,False
2015-08-26,58.55737704918033,False
2015-08-27,92.19672131147541,False
2015-08-28,82.22950819672131,False
2015-08-29,108.39344262295083,False
2015-08-30,57.31147540983607,False
2015-08-31,73.50819672131148,False
2015-09-01,68.52459016393443,False
2015-09-02,78.49180327868852,False
2015-09-03,85.9672131147541,False
2015-09-04,103.40983606557377,False
2015-09-05,84.72131147540983,False
2015-09-06,92.19672131147541,False
2015-09-07,66.0327868852459,False
2015-09-08,66.0327868852459,False
2015-09-09,78.49180327868852,False
2015-09-10,68.52459016393443,False
2015-09-11,94.68852459016394,False
2015-09-12,93.44262295081968,False
2015-09-13,43.606557377049185,False
2015-09-14,78.49180327868852,False
2015-09-15,87.21311475409837,False
2015-09-16,76.0,False
2015-09-17,103.40983606557377,False
2015-09-18,92.19672131147541,False
2015-09-19,68.52459016393443,False
2015-09-20,88.45901639344262,False
2015-09-21,85.9672131147541,False
2015-09-22,76.0,False
2015-09-23,74.75409836065575,False
2015-09-24,76.0,False
2015-09-25,93.44262295081968,False
2015-09-26,80.98360655737706,False
2015-09-27,112.1311475409836,False
2015-09-28,88.45901639344262,False
2015-09-29,77.24590163934427,False
2015-09-30,98.42622950819673,False
2015-10-01,79.73770491803279,False
2015-10-02,97.18032786885246,False
2015-10-03,90.95081967213115,False
2015-10-04,71.01639344262296,False
2015-10-05,71.01639344262296,False
2015-10-06,100.91803278688525,False
2015-10-07,82.22950819672131,False
2015-10-08,67.27868852459017,False
2015-10-09,76.0,False
2015-10-10,88.45901639344262,False
2015-10-11,73.50819672131148,False
2015-10-12,85.9672131147541,False
2015-10-13,78.49180327868852,False
2015-10-14,68.52459016393443,False
2015-10-15,104.65573770491804,False
2015-10-16,72.26229508196721,False
2015-10-17,79.73770491803279,False
2015-10-18,63.54098360655738,False
2015-10-19,73.50819672131148,False
2015-10-20,64.78688524590164,False
2015-10-21,59.80327868852459,False
2015-10-22,79.73770491803279,False
2015-10-23,90.95081967213115,False
2015-10-24,82.22950819672131,False
2015-10-25,68.52459016393443,False
2015-10-26,82.22950819672131,False
2015-10-27,71.01639344262296,False
2015-10-28,93.44262295081968,False
2015-10-29,66.0327868852459,False
2015-10-30,77.24590163934427,False
2015-10-31,68.52459016393443,False
2015-11-01,85.9672131147541,False
2015-11-02,71.01639344262296,False
2015-11-03,69.77049180327869,False
2015-11-04,64.78688524590164,False
2015-11-05,76.0,False
2015-11-06,88.45901639344262,False
2015-11-07,82.22950819672131,False
2015-11-08,97.18032786885246,False
2015-11-09,93.44262295081968,False
2015-11-10,72.26229508196721,False
2015-11-11,85.9672131147541,False
2015-11-12,90.95081967213115,False
2015-11-13,74.75409836065575,False
2015-11-14,63.54098360655738,False
2015-11-15,64.78688524590164,False
2015-11-16,57.31147540983607,False
2015-11-17,73.50819672131148,False
2015-11-18,98.42622950819673,False
2015-11-19,85.9672131147541,False
2015-11-20,79.73770491803279,False
2015-11-21,79.73770491803279,False
2015-11-22,76.0,False
2015-11-23,84.72131147540983,False
2015-11-24,76.0,False
2015-11-25,80.98360655737706,False
2015-11-26,67.27868852459017,False
2015-11-27,71.01639344262296,False
2015-11-28,85.9672131147541,False
2015-11-29,69.77049180327869,False
2015-11-30,78.49180327868852,False
2015-12-01,78.49180327868852,False
2015-12-02,82.22950819672131,False
2015-12-03,80.98360655737706,False
2015-12-04,66.0327868852459,False
2015-12-05,84.72131147540983,False
2015-12-06,77.24590163934427,False
2015-12-07,85.9672131147541,False
2015-12-08,92.19672131147541,False
2015-12-09,89.70491803278689,False
2015-12-10,80.98360655737706,False
2015-12-11,104.65573770491804,False
2015-12-12,77.24590163934427,False
2015-12-13,64.78688524590164,False
2015-12-14,89.70491803278689,False
2015-12-15,105.90163934426229,False
2015-12-16,102.16393442622952,False
2015-12-17,84.72131147540983,False
2015-12-18,82.22950819672131,False
2015-12-19,72.26229508196721,False
2015-12-20,90.95081967213115,False
2015-12-21,94.68852459016394,False
2015-12-22,124.59016393442623,False
2015-12-23,107.14754098360656,False
2015-12-24,112.1311475409836,False
2015-12-25,67.27868852459017,False
2015-12-26,66.0327868852459,False
2015-12-27,67.27868852459017,False
2015-12-28,43.606557377049185,False
2015-12-29,71.01639344262296,False
2015-12-30,109.63934426229508,False
2015-12-31,63.54098360655738,False
2016-01-01,62.295081967213115,False
2016-01-02,68.52459016393443,False
2016-01-03,80.98360655737706,False
2016-01-04,62.295081967213115,False
2016-01-05,80.98360655737706,False
2016-01-06,80.98360655737706,False
2016-01-07,79.73770491803279,False
2016-01-08,73.50819672131148,False
2016-01-09,64.78688524590164,False
2016-01-10,48.59016393442623,False
2016-01-11,62.295081967213115,False
2016-01-12,73.50819672131148,False
2016-01-13,67.27868852459017,False
2016-01-14,71.01639344262296,False
2016-01-15,83.47540983606558,False
2016-01-16,95.9344262295082,False
2016-01-17,76.0,False
2016-01-18,92.19672131147541,False
2016-01-19,89.70491803278689,False
2016-01-20,74.75409836065575,False
2016-01-21,47.21311475409836,False
2016-01-22,104.91803278688525,False
2016-01-23,90.49180327868854,False
2016-01-24,90.49180327868854,False
